time t,actual price at t,expected price at t + 2,actual price at t + 2,delta at t,actual delta at t + 2,spot at t,actual spot at t + 2,time t + 2,trade pnl,    , Total PnL:
"01/12/2020, 09:15:04",56.95,57.72086199670296,59.15909090909091,0.12163323503955326,0.12243611616895578,29720.7,29683.05,"01/12/2020, 09:15:06",1.6395909090909035,    ,-17.15676048169072
"01/12/2020, 09:15:05",56.95,56.28321514027273,59.15909090909091,0.12086983429071552,0.12243611616895578,29707.5,29688.6,"01/12/2020, 09:15:07",-1.6395909090909035
"01/12/2020, 09:15:06",59.15909090909091,57.222634903717136,56.85,0.12243611616895578,0.11998367156138556,29683.05,29694.1,"01/12/2020, 09:15:08",1.717499999999996,   ,positive:,135
"01/12/2020, 09:15:12",55.22452830188679,57.20939918091752,60.16578947368421,0.11741025105038716,0.12394281076240077,29715.0,29696.75,"01/12/2020, 09:15:14",4.389015888778546,   ,negative:,193
"01/12/2020, 09:15:13",60.16578947368421,60.981237282257844,55.0,0.12394281076240077,0.11752101543152094,29719.4,29691.35,"01/12/2020, 09:15:15",-5.767447368421049
"01/12/2020, 09:15:14",60.16578947368421,58.626319108149445,55.0,0.12394281076240077,0.11752101543152094,29696.75,29667.65,"01/12/2020, 09:15:16",4.564131578947364,   ,EPAP:,116
"01/12/2020, 09:15:15",55.0,54.27833293488949,55.025,0.11752101543152094,0.11617577075639929,29691.35,29666.15,"01/12/2020, 09:15:17",0.5250000000000015,   ,EPAL:,50
"01/12/2020, 09:15:16",55.0,53.31489435245351,54.9,0.11752101543152094,0.11648977206277777,29667.65,29674.85,"01/12/2020, 09:15:18",-0.4499999999999986,   ,ELAP:,51
"01/12/2020, 09:15:18",54.9,55.45873242190121,52.3,0.11648977206277777,0.11311116795695852,29674.85,29635.6,"01/12/2020, 09:15:20",-3.1490000000000014,   ,ELAL:,111
"01/12/2020, 09:15:20",52.3,49.81941830757873,50.25,0.11311116795695852,0.10816163774052256,29635.6,29628.6,"01/12/2020, 09:15:22",1.526999999999997
"01/12/2020, 09:15:21",52.3,50.39418114713513,50.65,0.1100761455063548,0.10856753674488573,29614.3,29626.35,"01/12/2020, 09:15:23",1.1269999999999984
"01/12/2020, 09:15:22",50.25,50.82940963159906,52.5,0.10816163774052256,0.11214821520297846,29628.6,29650.2,"01/12/2020, 09:15:24",1.7475
"01/12/2020, 09:15:24",52.5,54.00262801108745,51.8,0.11214821520297846,0.11112851775578747,29650.2,29653.3,"01/12/2020, 09:15:26",-1.2250000000000028
"01/12/2020, 09:15:27",52.15,52.81888344043309,54.795,0.11230312037469048,0.11614859530482136,29661.8,29677.3,"01/12/2020, 09:15:29",2.123500000000003
"01/12/2020, 09:15:28",52.15,52.839319159103745,54.795,0.11230312037469048,0.11614859530482136,29670.5,29689.7,"01/12/2020, 09:15:30",2.123500000000003
"01/12/2020, 09:15:29",54.795,55.38426999527349,54.795,0.11614859530482136,0.11614859530482136,29677.3,29684.7,"01/12/2020, 09:15:31",-0.54795
"01/12/2020, 09:15:30",54.795,55.72829878005027,56.0,0.11614859530482136,0.1185119314413896,29689.7,29686.65,"01/12/2020, 09:15:32",0.6570499999999982
"01/12/2020, 09:15:33",57.71666666666667,57.032179285361934,56.25,0.11922147925815807,0.1179515329113201,29676.2,29653.85,"01/12/2020, 09:15:35",0.8895000000000018
"01/12/2020, 09:15:35",56.25,55.01348020907127,54.86538461538461,0.1179515329113201,0.11560694476884237,29653.85,29665.6,"01/12/2020, 09:15:37",0.8221153846153868
"01/12/2020, 09:15:40",56.25,55.530953893508915,55.0,0.11761141097395011,0.11545296908934688,29655.3,29653.2,"01/12/2020, 09:15:42",0.6875
"01/12/2020, 09:15:46",56.07333333333334,57.33087185902618,57.173913043478265,0.11795577406701341,0.11945157457375899,29675.45,29678.55,"01/12/2020, 09:15:48",0.5398463768115941
