time t,actual price at t,expected price at t + 2,actual price at t + 2,delta at t,actual delta at t + 2,spot at t,actual spot at t + 2,time t + 2,trade pnl,    , Total PnL:
"01/12/2020, 09:15:16",2.85,2.8915668209405356,2.85,-0.006316883256829442,-0.006316883256829442,29667.65,29674.85,"01/12/2020, 09:15:18",-0.0285,    ,0.3549999999999999
"01/12/2020, 09:15:17",2.85,2.9083389660078725,2.85,-0.006316883256829442,-0.006356155455478074,29666.15,29673.45,"01/12/2020, 09:15:19",-0.0285
"01/12/2020, 09:15:18",2.85,2.881149174353805,2.85,-0.006316883256829442,-0.006356155455478074,29674.85,29635.6,"01/12/2020, 09:15:20",-0.0285,   ,positive:,7
"01/12/2020, 09:15:20",2.85,2.8830716722399914,3.4499999999999997,-0.006356155455478074,-0.0074951340678808265,29635.6,29628.6,"01/12/2020, 09:15:22",0.5714999999999997,   ,negative:,30
"01/12/2020, 09:15:21",2.85,2.9041619490136212,3.4499999999999997,-0.006356155455478074,-0.0074951340678808265,29614.3,29626.35,"01/12/2020, 09:15:23",0.5714999999999997
"01/12/2020, 09:15:22",3.4499999999999997,3.5128171750754884,3.45,-0.0074951340678808265,-0.007451355810417226,29628.6,29650.2,"01/12/2020, 09:15:24",-0.03449999999999955,   ,EPAP:,22
"01/12/2020, 09:15:23",3.4499999999999997,3.5123243163635682,3.45,-0.0074951340678808265,-0.007451355810417226,29626.35,29645.3,"01/12/2020, 09:15:25",-0.03449999999999955,   ,EPAL:,0
"01/12/2020, 09:15:25",3.45,3.4131782369034283,3.45,-0.007451355810417226,-0.007451355810417226,29645.3,29661.8,"01/12/2020, 09:15:27",-0.0345,   ,ELAP:,3
"01/12/2020, 09:15:27",3.45,3.405892113014774,3.45,-0.007451355810417226,-0.007451355810417226,29661.8,29677.3,"01/12/2020, 09:15:29",-0.0345,   ,ELAL:,12
"01/12/2020, 09:15:29",3.45,3.4106835910779276,3.5,-0.007451355810417226,-0.007467574999964199,29677.3,29684.7,"01/12/2020, 09:15:31",-0.01549999999999982
"01/12/2020, 09:15:30",3.45,3.4030510976583632,3.5,-0.007451355810417226,-0.007467574999964199,29689.7,29686.65,"01/12/2020, 09:15:32",-0.01549999999999982
"01/12/2020, 09:15:35",3.85,3.890930466824012,3.85,-0.00808483199108423,-0.00808483199108423,29653.85,29665.6,"01/12/2020, 09:15:37",-0.0385
"01/12/2020, 09:15:36",3.85,3.8890757896255668,4.0,-0.00808483199108423,-0.008334473686488764,29660.2,29670.35,"01/12/2020, 09:15:38",0.1114999999999999
"01/12/2020, 09:16:14",4.15,4.191571783626093,4.2,-0.008556842047369173,-0.008704941635073737,29652.05,29658.2,"01/12/2020, 09:16:16",0.00849999999999982
"01/12/2020, 09:16:15",4.2,4.24814793979778,4.2,-0.008704941635073737,-0.008704941635073737,29652.0,29661.15,"01/12/2020, 09:16:17",-0.042
"01/12/2020, 09:20:45",4.2,4.254003008477952,4.2,-0.008928565969767988,-0.009009049099972799,29525.1,29524.05,"01/12/2020, 09:20:47",-0.042
"01/12/2020, 09:20:46",4.2,4.255553099593604,4.2,-0.009009049099972799,-0.009009049099972799,29526.35,29522.95,"01/12/2020, 09:20:48",-0.042
"01/12/2020, 09:20:47",4.2,4.255243914688154,4.2,-0.009009049099972799,-0.009009049099972799,29524.05,29530.55,"01/12/2020, 09:20:49",-0.042
"01/12/2020, 09:30:12",4.05,4.003746793467335,3.9,-0.008474974471539554,-0.00822789535419588,29644.75,29643.7,"01/12/2020, 09:30:14",0.1094999999999999
"01/12/2020, 09:30:13",3.95,3.905404778013926,3.9,-0.00831176419495705,-0.00822789535419588,29643.5,29643.15,"01/12/2020, 09:30:15",0.010500000000000266
"01/12/2020, 09:30:14",3.9,3.85986272019965,3.9,-0.00822789535419588,-0.00822789535419588,29643.7,29643.15,"01/12/2020, 09:30:16",-0.039
"01/12/2020, 09:52:09",3.9,3.8589021025782286,3.9,-0.008146869967617931,-0.008150132831019619,29680.7,29680.25,"01/12/2020, 09:52:11",-0.039
"01/12/2020, 10:35:44",3.95,3.905122154402217,3.95,-0.008135497846240014,-0.008056968047753799,29769.2,29761.25,"01/12/2020, 10:35:46",-0.0395
"01/12/2020, 12:28:16",4.0,4.052221033053027,4.0,-0.008154753751909993,-0.008149749521635385,29753.8,29752.85,"01/12/2020, 12:28:18",-0.04
"01/12/2020, 12:28:17",4.0,4.0547239598059965,4.0,-0.008149749521635385,-0.008149749521635385,29756.15,29758.05,"01/12/2020, 12:28:19",-0.04
"01/12/2020, 12:28:18",4.0,4.05646723075715,4.0,-0.008149749521635385,-0.008149962884829165,29752.85,29756.05,"01/12/2020, 12:28:20",-0.04
"01/12/2020, 12:28:23",4.0,4.0824163030778795,4.0,-0.008289879637857211,-0.008272175428203354,29691.45,29707.85,"01/12/2020, 12:28:25",-0.04
"01/12/2020, 12:28:24",4.0,4.08565813795025,4.0,-0.008272175428203354,-0.008272175428203354,29699.5,29710.35,"01/12/2020, 12:28:26",-0.04
"01/12/2020, 12:28:25",4.0,4.059110298963612,4.0,-0.008272175428203354,-0.008272175428203354,29707.85,29710.35,"01/12/2020, 12:28:27",-0.04
"01/12/2020, 12:28:26",4.0,4.047265005629369,4.0,-0.008272175428203354,-0.008272175428203354,29710.35,29695.35,"01/12/2020, 12:28:28",-0.04
"01/12/2020, 13:39:10",3.5,3.462020060577164,3.45,-0.007202514821358363,-0.007120710512253936,29823.7,29832.05,"01/12/2020, 13:39:12",0.014999999999999819
"01/12/2020, 13:39:11",3.45,3.4130734167555663,3.5,-0.007120710512253936,-0.007207992990743151,29823.5,29820.75,"01/12/2020, 13:39:13",-0.01549999999999982
"01/12/2020, 13:39:12",3.45,3.4015014396686585,3.45,-0.007120710512253936,-0.007116308989907338,29832.05,29825.9,"01/12/2020, 13:39:14",-0.0345
"01/12/2020, 14:13:08",3.7,3.653621466354159,3.7,-0.007497027247893584,-0.007497027247893584,29868.75,29869.4,"01/12/2020, 14:13:10",-0.037000000000000005
"01/12/2020, 14:13:09",3.7,3.6560103003898012,3.7,-0.007497027247893584,-0.007497027247893584,29870.25,29870.45,"01/12/2020, 14:13:11",-0.037000000000000005
"01/12/2020, 14:13:10",3.7,3.6566337961525983,3.7,-0.007497027247893584,-0.007497027247893584,29869.4,29869.1,"01/12/2020, 14:13:12",-0.037000000000000005
"01/12/2020, 15:21:49",2.35,2.3742865742043593,2.35,-0.005246420352023051,-0.005246420352023051,29807.0,29813.6,"01/12/2020, 15:21:51",-0.0235
