time t,actual price at t,expected price at t + 2,actual price at t + 2,delta at t,actual delta at t + 2,spot at t,actual spot at t + 2,time t + 2,trade pnl,    , Total PnL:
"01/12/2020, 09:15:16",2.85,2.893650844834608,2.85,-0.006316883256829442,-0.006316883256829442,29667.65,29674.85,"01/12/2020, 09:15:18",-0.0285,    ,0.3669999999999997
"01/12/2020, 09:15:17",2.85,2.908418283374753,2.85,-0.006316883256829442,-0.006356155455478074,29666.15,29673.45,"01/12/2020, 09:15:19",-0.0285
"01/12/2020, 09:15:18",2.85,2.879783982514673,2.85,-0.006316883256829442,-0.006356155455478074,29674.85,29635.6,"01/12/2020, 09:15:20",-0.0285,   ,positive:,8
"01/12/2020, 09:15:20",2.85,2.883561063183961,3.4499999999999997,-0.006356155455478074,-0.0074951340678808265,29635.6,29628.6,"01/12/2020, 09:15:22",0.5714999999999997,   ,negative:,30
"01/12/2020, 09:15:21",2.85,2.904824937151394,3.4499999999999997,-0.006356155455478074,-0.0074951340678808265,29614.3,29626.35,"01/12/2020, 09:15:23",0.5714999999999997
"01/12/2020, 09:15:22",3.4499999999999997,3.5123723109268643,3.45,-0.0074951340678808265,-0.007451355810417226,29628.6,29650.2,"01/12/2020, 09:15:24",-0.03449999999999955,   ,EPAP:,22
"01/12/2020, 09:15:23",3.4499999999999997,3.512193046589735,3.45,-0.0074951340678808265,-0.007451355810417226,29626.35,29645.3,"01/12/2020, 09:15:25",-0.03449999999999955,   ,EPAL:,0
"01/12/2020, 09:15:25",3.45,3.4124908496763746,3.45,-0.007451355810417226,-0.007451355810417226,29645.3,29661.8,"01/12/2020, 09:15:27",-0.0345,   ,ELAP:,3
"01/12/2020, 09:15:27",3.45,3.405496789498252,3.45,-0.007451355810417226,-0.007451355810417226,29661.8,29677.3,"01/12/2020, 09:15:29",-0.0345,   ,ELAL:,13
"01/12/2020, 09:15:29",3.45,3.410229293334202,3.5,-0.007451355810417226,-0.007467574999964199,29677.3,29684.7,"01/12/2020, 09:15:31",-0.01549999999999982
"01/12/2020, 09:15:30",3.45,3.4029692283297885,3.5,-0.007451355810417226,-0.007467574999964199,29689.7,29686.65,"01/12/2020, 09:15:32",-0.01549999999999982
"01/12/2020, 09:15:35",3.85,3.8914438331665577,3.85,-0.00808483199108423,-0.00808483199108423,29653.85,29665.6,"01/12/2020, 09:15:37",-0.0385
