time t,actual price at t,expected price at t + 3,actual price at t + 3,delta at t,expected delta at t+3,actual delta at t + 3,spot at t,expected spot at t+3,actual spot at t + 3,time t + 3,trade pnl,    , Total PnL:
"01/12/2020, 09:15:22",287.2,291.3790820618786,276.3,-0.3692676102218684,-0.37329278604846694,-0.36222811490915774,29628.6,-11.317218045112797,29645.3,"01/12/2020, 09:15:25",-13.771999999999977,    ,-435.91924999999986
"01/12/2020, 09:15:23",276.4,281.0410915856014,276.3,-0.3668465527880471,-0.3712171477013555,-0.36222811490915774,29626.35,-12.651315789473767,29653.3,"01/12/2020, 09:15:26",-2.8639999999999657
"01/12/2020, 09:15:24",279.25,283.54870553407454,272.3,-0.36191605249769054,-0.36628622510658915,-0.35717130749617354,29650.2,-11.877631578947351,29661.8,"01/12/2020, 09:15:27",-9.742499999999989,   ,positive:,14
"01/12/2020, 09:15:25",276.3,280.50951284079184,272.3,-0.36222811490915774,-0.3667523263133727,-0.35717130749617354,29645.3,-11.621165413533816,29670.5,"01/12/2020, 09:15:28",-6.763,   ,negative:,120
"01/12/2020, 09:15:26",276.3,280.6102966858461,262.5,-0.36222811490915774,-0.36682130955587744,-0.3505795496494102,29653.3,-11.899398496240615,29677.3,"01/12/2020, 09:15:29",-16.563000000000013
"01/12/2020, 09:15:27",272.3,276.37755358233005,256.1,-0.35717130749617354,-0.36152762691140505,-0.3456840639046277,29661.8,-11.416240601503835,29689.7,"01/12/2020, 09:15:30",-18.922999999999988
"01/12/2020, 09:15:28",272.3,275.93557423054267,262.7,-0.35717130749617354,-0.3613189302664034,-0.34896358629339375,29670.5,-10.178796992481317,29684.7,"01/12/2020, 09:15:31",-12.323000000000023
"01/12/2020, 09:15:29",262.5,265.4561368454367,260.5,-0.3505795496494102,-0.3541786467640054,-0.3478154676486156,29677.3,-8.43214285714294,29686.65,"01/12/2020, 09:15:32",-4.625
"01/12/2020, 09:18:32",314.4,317.7287903214503,307.45,-0.394773947482463,-0.3977496377036661,-0.39077982164599234,29553.85,-8.432142857142791,29563.25,"01/12/2020, 09:18:35",-10.093999999999989
"01/12/2020, 09:18:33",316.75,320.0749045358865,307.35,-0.3942920223380497,-0.39732938386634514,-0.3867791476295679,29557.5,-8.432593984962416,29578.45,"01/12/2020, 09:18:36",-12.567499999999978
"01/12/2020, 09:18:34",311.25,314.476875106959,305.45,-0.39180590138130356,-0.3947059868057425,-0.3880008966916648,29562.5,-8.235902255639155,29572.1,"01/12/2020, 09:18:37",-8.912500000000012
"01/12/2020, 09:20:16",299.6,296.40205805169546,302.45,-0.3831043488389696,-0.3803019854843942,-0.3858691185087082,29585.75,8.347443609022411,29577.65,"01/12/2020, 09:20:19",-5.845999999999966
"01/12/2020, 09:20:17",298.5,295.1720780425257,304.55,-0.38357890844054054,-0.38064647269527624,-0.38725030590285314,29582.9,8.675977443609012,29574.2,"01/12/2020, 09:20:20",-9.03500000000001
"01/12/2020, 09:20:18",302.05,298.7533437357131,305.85,-0.38475164810733986,-0.3818548830623971,-0.3871806433380698,29581.6,8.568270676691693,29575.6,"01/12/2020, 09:20:21",-6.8205000000000116
"01/12/2020, 09:20:19",302.45,299.3092284643488,307.65,-0.3858691185087082,-0.3831068956909653,-0.38783313439125777,29577.65,8.139473684210602,29574.65,"01/12/2020, 09:20:22",-8.224499999999988
"01/12/2020, 09:20:51",319.4,322.77281658547344,323.6,-0.4021034567813331,-0.4049644134831629,-0.4051729059938225,29530.65,-8.387932330827072,29522.5,"01/12/2020, 09:20:54",1.0060000000000455
"01/12/2020, 09:20:52",319.8,323.28057315804296,326.0,-0.40263913788294303,-0.4055446097401755,-0.4082058765561669,29529.0,-8.644398496240647,29513.3,"01/12/2020, 09:20:55",3.0019999999999882
"01/12/2020, 09:20:53",320.55,324.1263661966103,326.25,-0.4038569893054955,-0.40681254629133146,-0.4080522691765509,29525.15,-8.855526315789369,29514.0,"01/12/2020, 09:20:56",2.4944999999999884
"01/12/2020, 09:20:54",323.6,327.18797363528074,328.65,-0.4051729059938225,-0.40810555056084824,-0.4079176051163813,29522.5,-8.855413533834394,29516.0,"01/12/2020, 09:20:57",1.8139999999999543
"01/12/2020, 09:20:55",326.0,329.7207198343815,320.3,-0.4082058765561669,-0.4112186151863519,-0.4078124228726665,29513.3,-9.114812030075068,29511.05,"01/12/2020, 09:20:58",-8.959999999999988
"01/12/2020, 09:20:56",326.25,329.9059028868479,318.8,-0.4080522691765509,-0.4109988127324903,-0.4041413877530431,29514.0,-8.959398496240528,29522.95,"01/12/2020, 09:20:59",-10.712499999999988
"01/12/2020, 09:20:57",328.65,332.1079298067702,319.45,-0.4079176051163813,-0.4107191279913799,-0.4025996554446465,29516.0,-8.47703007518795,29528.9,"01/12/2020, 09:21:00",-12.486499999999989
"01/12/2020, 09:20:58",320.3,323.63276270380936,317.15,-0.4078124228726665,-0.4104542056464375,-0.4002796641543682,29511.05,-8.172293233082673,29535.65,"01/12/2020, 09:21:01",-6.353000000000034
