time t,actual price at t,expected price at t + 20,actual price at t + 20,delta at t,expected delta at t+20,actual delta at t + 20,spot at t,expected spot at t+20,actual spot at t + 20,time t + 20,trade pnl,    , Total PnL:
"01/12/2020, 09:15:49",78.1,75.40849139269467,73.05,-0.13509518557839328,-0.13516480303254294,-0.12996850596209697,29676.9,19.912791991102154,29680.75,"01/12/2020, 09:16:09",-5.830999999999997,    ,-4900.099096831601
"01/12/2020, 09:15:50",77.65,75.20272816553562,73.73125,-0.1348837387013191,-0.1349421846898561,-0.13065283302466923,29673.6,18.135706340378796,29680.8,"01/12/2020, 09:16:10",-4.695250000000003
"01/12/2020, 09:15:51",77.75,75.90988409605193,73.73125,-0.1346886651845125,-0.13474059635177305,-0.13065283302466923,29678.05,13.656729699666759,29683.8,"01/12/2020, 09:16:11",-4.796249999999997,   ,positive:,2424
"01/12/2020, 09:15:52",74.6,73.24303677706666,75.55,-0.13182046000110859,-0.13225389607730265,-0.1339266936383865,29675.55,10.26028921023382,29657.4,"01/12/2020, 09:16:12",0.20400000000000285,   ,negative:,7055
"01/12/2020, 09:15:53",73.84830508474576,73.00160742751707,77.15,-0.13142220548161276,-0.13242539906899586,-0.1353669892750986,29677.55,6.3937708565072136,29659.0,"01/12/2020, 09:16:13",2.563211864406788
"01/12/2020, 09:16:00",72.03048780487805,71.03634664596174,78.225,-0.12913437084307589,-0.12481257183277321,-0.13690899770608667,29678.3,7.965072302558469,29651.3,"01/12/2020, 09:16:20",5.474207317073164,   ,EPAP:,2415
"01/12/2020, 09:16:01",72.01363636363637,70.67383663620247,78.225,-0.12923282023393767,-0.1236708580572804,-0.13690899770608667,29677.1,10.833592880978873,29648.15,"01/12/2020, 09:16:21",5.491227272727265,   ,EPAL:,2297
"01/12/2020, 09:16:02",72.01363636363637,70.33844375094804,78.99109589041096,-0.12923282023393767,-0.12236326812755924,-0.1372994830035168,29674.4,13.690322580645605,29652.9,"01/12/2020, 09:16:22",6.257323163138231,   ,ELAP:,2460
"01/12/2020, 09:16:03",71.81776315789475,69.954002391115,78.99109589041096,-0.12934608080286125,-0.12156960539056659,-0.1372994830035168,29675.3,15.33081201334866,29647.55,"01/12/2020, 09:16:23",6.455155100937268,   ,ELAL:,2307
"01/12/2020, 09:16:04",71.81776315789475,69.81162359646547,79.75,-0.12934608080286125,-0.12069165009669205,-0.13827912102897244,29678.25,16.622024471635502,29652.4,"01/12/2020, 09:16:24",7.214059210526307
"01/12/2020, 09:16:05",71.98630136986301,69.97990951702562,78.95,-0.1285193839294152,-0.11966260718745374,-0.13753065095443162,29688.05,16.767074527252607,29652.3,"01/12/2020, 09:16:25",6.243835616438359
"01/12/2020, 09:16:06",71.98630136986301,69.89235905280522,79.3,-0.1285193839294152,-0.11954518651630408,-0.13807118718887068,29688.3,17.515906562847753,29649.2,"01/12/2020, 09:16:26",6.593835616438353
"01/12/2020, 09:16:07",71.95,69.80130272764994,79.71233766233766,-0.1288087166585683,-0.11985647393635923,-0.138579450231191,29681.85,17.92725250278068,29648.65,"01/12/2020, 09:16:27",7.042837662337657
"01/12/2020, 09:16:08",72.8,70.56489581917454,79.71233766233766,-0.1298228684163405,-0.1208113574008314,-0.138579450231191,29679.15,18.500778642936446,29645.8,"01/12/2020, 09:16:28",6.184337662337663
"01/12/2020, 09:16:09",73.05,70.82190191090677,79.1,-0.12996850596209697,-0.12103082671267953,-0.13751113235684898,29680.75,18.40934371523883,29654.7,"01/12/2020, 09:16:29",5.319499999999997
"01/12/2020, 09:16:10",73.73125,71.67024359118072,78.65,-0.13065283302466923,-0.12196829490287728,-0.13811349660954875,29680.8,16.89788654060016,29639.5,"01/12/2020, 09:16:30",4.181437500000003
"01/12/2020, 09:16:11",73.73125,71.87183707769722,78.65,-0.13065283302466923,-0.12259355920253674,-0.13811349660954875,29683.8,15.167296996662271,29639.5,"01/12/2020, 09:16:31",4.181437500000003
"01/12/2020, 09:16:12",75.55,74.2971430162113,80.9,-0.1339266936383865,-0.1272992640459869,-0.13994666869621142,29657.4,9.841824249165354,29643.75,"01/12/2020, 09:16:32",4.594500000000009
"01/12/2020, 09:16:15",77.86346153846154,78.80985449787964,82.85,-0.13659931130405312,-0.1354443566156488,-0.14287223129940685,29652.0,-6.987319243604157,29627.75,"01/12/2020, 09:16:35",4.207903846153843
"01/12/2020, 09:16:16",77.86346153846154,79.11916319295919,83.55,-0.13659931130405312,-0.1368898439833873,-0.144014543366211,29658.2,-9.173081201334742,29620.75,"01/12/2020, 09:16:36",4.907903846153846
"01/12/2020, 09:16:17",78.5,79.95814648964392,83.3,-0.13651175916038483,-0.13777786241801218,-0.14302331314866024,29661.15,-10.583314794215399,29631.5,"01/12/2020, 09:16:37",4.014999999999997
"01/12/2020, 09:16:18",78.1,79.86517358536771,83.45,-0.13666899751569872,-0.13895475151447387,-0.14342215040414885,29653.1,-12.70322580645148,29627.8,"01/12/2020, 09:16:38",4.569000000000009
"01/12/2020, 09:16:19",78.15,80.35349094823198,81.95,-0.13715746849811694,-0.14062373019142566,-0.1421635741735372,29646.55,-15.669410456062018,29625.95,"01/12/2020, 09:16:39",3.018499999999997
"01/12/2020, 09:16:20",78.225,80.80096824262766,81.95,-0.13690899770608667,-0.14147618946546342,-0.1421635741735372,29651.3,-18.20778642936593,29625.95,"01/12/2020, 09:16:40",2.9427500000000086
"01/12/2020, 09:16:21",78.225,81.124158660413,82.85,-0.13690899770608667,-0.14253219051248567,-0.14369551954587223,29648.15,-20.340378197997616,29616.15,"01/12/2020, 09:16:41",3.84275
