time t,actual price at t,expected price at t + 2,actual price at t + 2,delta at t,actual delta at t + 2,spot at t,actual spot at t + 2,time t + 2,trade pnl,    , Total PnL:
"01/12/2020, 09:15:06",26.1,26.379009882476108,26.25,-0.054793071001313365,-0.05475265387531181,29683.05,29694.1,"01/12/2020, 09:15:08",-0.11100000000000143,    ,7.310506929882444
"01/12/2020, 09:15:07",26.25,26.65068993325533,26.95,-0.054877694208244066,-0.05567467043192664,29688.6,29696.45,"01/12/2020, 09:15:09",0.4374999999999993
"01/12/2020, 09:15:13",26.75,26.36427125028041,26.85375,-0.05487759108291357,-0.05542447036646081,29719.4,29691.35,"01/12/2020, 09:15:15",0.16374999999999845,   ,positive:,32
"01/12/2020, 09:15:16",28.55,29.218653526857956,30.088636363636365,-0.0585564216066814,-0.060651254278809574,29667.65,29674.85,"01/12/2020, 09:15:18",1.253136363636364,   ,negative:,30
"01/12/2020, 09:15:17",30.088636363636365,30.564166458911707,31.55,-0.060651254278809574,-0.0624102034862517,29666.15,29673.45,"01/12/2020, 09:15:19",1.1604772727272723
"01/12/2020, 09:15:20",32.25,32.64694119052614,33.6,-0.06431771791994834,-0.06625829472568512,29635.6,29628.6,"01/12/2020, 09:15:22",1.0275000000000014,   ,EPAP:,17
"01/12/2020, 09:15:21",32.45,33.32598088376825,34.95,-0.0651592873282425,-0.06804134403637363,29614.3,29626.35,"01/12/2020, 09:15:23",2.1755,   ,EPAL:,12
"01/12/2020, 09:15:22",33.6,34.33219904080228,32.2,-0.06625829472568512,-0.06386268833011854,29628.6,29650.2,"01/12/2020, 09:15:24",-1.7359999999999987,   ,ELAP:,15
"01/12/2020, 09:15:24",32.2,31.741325412164596,31.5,-0.06386268833011854,-0.06286640689268097,29650.2,29653.3,"01/12/2020, 09:15:26",0.37800000000000283,   ,ELAL:,18
"01/12/2020, 09:15:26",31.5,31.118211375300014,30.25,-0.06286640689268097,-0.06077499976981926,29653.3,29670.5,"01/12/2020, 09:15:28",0.935
"01/12/2020, 09:15:28",30.25,29.911912113220684,29.751250000000002,-0.06077499976981926,-0.06010568470173894,29670.5,29689.7,"01/12/2020, 09:15:30",0.1962499999999976
"01/12/2020, 09:15:29",29.751250000000002,29.40829416748634,29.55,-0.06010568470173894,-0.059490168121101306,29677.3,29684.7,"01/12/2020, 09:15:31",-0.09626249999999831
"01/12/2020, 09:15:30",29.751250000000002,29.361735347424077,29.55,-0.06010568470173894,-0.059490168121101306,29689.7,29686.65,"01/12/2020, 09:15:32",-0.09626249999999831
"01/12/2020, 09:15:35",30.9,31.347131317477167,33.6,-0.062061230380550114,-0.0652512482020029,29653.85,29665.6,"01/12/2020, 09:15:37",2.3910000000000027
"01/12/2020, 09:15:47",31.28333333333333,30.946690338405165,31.7,-0.06211774711459839,-0.0625168208443938,29677.2,29676.9,"01/12/2020, 09:15:49",-0.10383333333333455
"01/12/2020, 09:16:13",30.792073170731708,31.113365449247066,31.15,-0.061833384290821414,-0.06243970440209523,29659.0,29652.0,"01/12/2020, 09:16:15",0.05000609756097335
"01/12/2020, 09:16:14",31.0,31.44912037018577,32.05,-0.06224020942227071,-0.06345670949485793,29652.05,29658.2,"01/12/2020, 09:16:16",0.7399999999999971
"01/12/2020, 09:16:58",32.6,32.94999236824491,34.3,-0.0661678213077721,-0.06841918976761008,29585.3,29584.35,"01/12/2020, 09:17:00",1.3739999999999957
"01/12/2020, 09:17:12",33.7,34.06356418824835,34.95,-0.06771542808792219,-0.06922949862655514,29581.75,29585.25,"01/12/2020, 09:17:14",0.913
"01/12/2020, 09:18:32",37.45,37.82798879365535,36.15,-0.07335498935390206,-0.07144511343994964,29553.85,29562.5,"01/12/2020, 09:18:34",-1.6745000000000043
"01/12/2020, 09:20:45",39.7,40.316422400985005,39.95,-0.07708290193022549,-0.07742532372958522,29525.1,29524.05,"01/12/2020, 09:20:47",-0.14700000000000002
"01/12/2020, 09:20:46",38.95,39.5395491166108,39.55,-0.07611418138822046,-0.07696987920553511,29526.35,29522.95,"01/12/2020, 09:20:48",0.2104999999999943
"01/12/2020, 09:21:01",38.5,38.08793840170892,38.2,-0.07524982238464872,-0.07452270781413972,29535.65,29546.6,"01/12/2020, 09:21:03",-0.08500000000000285
"01/12/2020, 09:24:45",36.04999999999999,35.56123801135906,35.550961538461536,-0.0693484890007312,-0.06932313361858178,29628.9,29607.05,"01/12/2020, 09:24:47",0.13853846153845428
"01/12/2020, 09:30:11",34.55,34.15767638121336,34.0,-0.06712708993745764,-0.06636084777937867,29641.0,29643.5,"01/12/2020, 09:30:13",0.20449999999999718
"01/12/2020, 09:30:12",34.05,33.56613257528441,34.0,-0.06639004481030497,-0.06635535343093579,29644.75,29643.7,"01/12/2020, 09:30:14",-0.2905000000000028
"01/12/2020, 09:30:13",34.0,33.571822842017,34.35,-0.06636084777937867,-0.06681457817876435,29643.5,29643.15,"01/12/2020, 09:30:15",-0.010000000000001397
"01/12/2020, 09:52:07",31.25,30.880474970726105,30.1,-0.06193444643258772,-0.06032593797726804,29676.95,29680.7,"01/12/2020, 09:52:09",0.8374999999999986
"01/12/2020, 09:52:08",30.5,30.15456397711546,29.2,-0.06099939081423145,-0.05916016393712198,29674.95,29679.2,"01/12/2020, 09:52:10",0.9950000000000008
"01/12/2020, 10:05:39",28.8,29.11323212106399,28.95,-0.05989357945281881,-0.060158945234434213,29628.0,29625.7,"01/12/2020, 10:05:41",-0.13800000000000145
"01/12/2020, 10:05:40",29.4,29.71721849797817,28.65,-0.06064910601253359,-0.05959786558378255,29630.65,29631.5,"01/12/2020, 10:05:42",-1.044
"01/12/2020, 10:05:41",28.95,29.310994783519266,28.65,-0.060158945234434213,-0.059691561273211846,29625.7,29627.8,"01/12/2020, 10:05:43",-0.5895000000000007
"01/12/2020, 10:35:44",22.05,21.741751470876025,22.5,-0.04716915589142445,-0.047981863792756485,29769.2,29761.25,"01/12/2020, 10:35:46",-0.2294999999999993
