time t,actual price at t,expected price at t + 3,actual price at t + 3,delta at t,expected delta at t+3,actual delta at t + 3,spot at t,expected spot at t+3,actual spot at t + 3,time t + 3,trade pnl,    , Total PnL:
"01/12/2020, 09:15:22",33.6,34.372279668045906,31.85,-0.06625829472568512,-0.06823935572924711,-0.06353563737775403,29628.6,-11.317218045112797,29645.3,"01/12/2020, 09:15:25",-2.086,    ,-95.27974999999991
"01/12/2020, 09:15:23",34.95,35.837511681236556,31.5,-0.06804134403637363,-0.07015172935411088,-0.06286640689268097,29626.35,-12.651315789473767,29653.3,"01/12/2020, 09:15:26",-3.7995000000000028
"01/12/2020, 09:15:24",32.2,32.983944540345995,31.1,-0.06386268833011854,-0.06600175591702145,-0.06212031829591069,29650.2,-11.877631578947351,29661.8,"01/12/2020, 09:15:27",-1.4220000000000015,   ,positive:,105
"01/12/2020, 09:15:25",31.85,32.61210424861526,30.25,-0.06353563737775403,-0.06557898640077249,-0.06077499976981926,29645.3,-11.621165413533816,29670.5,"01/12/2020, 09:15:28",-1.9185000000000014,   ,negative:,290
"01/12/2020, 09:15:26",31.5,32.27151105496819,29.875,-0.06286640689268097,-0.06483613900416328,-0.06010568470173894,29653.3,-11.899398496240615,29677.3,"01/12/2020, 09:15:29",-1.94
"01/12/2020, 09:15:27",31.1,31.830091940370533,29.875,-0.06212031829591069,-0.06395204567380611,-0.06010568470173894,29661.8,-11.416240601503835,29689.7,"01/12/2020, 09:15:30",-1.5360000000000014
"01/12/2020, 09:15:28",30.25,30.88487670445743,29.55,-0.06077499976981926,-0.06237246945060301,-0.059490168121101306,29670.5,-10.178796992481317,29684.7,"01/12/2020, 09:15:31",-1.0024999999999993
"01/12/2020, 09:15:29",29.875,30.3932118235542,29.55,-0.06010568470173894,-0.06145671774467352,-0.059490168121101306,29677.3,-8.43214285714294,29686.65,"01/12/2020, 09:15:32",-0.6237499999999994
"01/12/2020, 09:15:30",29.875,30.270776711181206,29.65,-0.06010568470173894,-0.061235454176162045,-0.059832942849880055,29689.7,-6.463195488721892,29676.2,"01/12/2020, 09:15:33",-0.5237500000000015
"01/12/2020, 09:15:38",32.65,32.25917723536448,32.55,-0.06391296213905662,-0.06350649085086336,-0.0642541204626923,29670.35,6.154060150375955,29652.55,"01/12/2020, 09:15:41",-0.2264999999999986
"01/12/2020, 09:15:39",31.55,31.113810591208413,32.55,-0.06263823277095071,-0.06220820143290897,-0.0642541204626923,29664.6,7.011766917293257,29653.2,"01/12/2020, 09:15:42",-1.3154999999999966
"01/12/2020, 09:15:40",31.9,31.53975237892992,33.35,-0.06333742644528684,-0.06300312774390177,-0.06531030152245876,29655.3,5.717932330827036,29651.55,"01/12/2020, 09:15:43",-1.7690000000000028
"01/12/2020, 09:16:19",31.8,32.14258673571525,31.75,-0.0634372166700814,-0.06439964361449602,-0.06320459121980093,29646.55,-5.31969924812023,29652.9,"01/12/2020, 09:16:22",-0.3680000000000007
"01/12/2020, 09:16:20",31.5,31.867640386992253,31.6,-0.0629188087032162,-0.06390653945782344,-0.06314852644209168,29651.3,-5.752781954887197,29647.55,"01/12/2020, 09:16:23",-0.21499999999999858
"01/12/2020, 09:16:21",31.5,31.900289254446797,32.0,-0.06300134308503402,-0.06398585497175505,-0.06354421008154532,29648.15,-6.255902255639066,29652.4,"01/12/2020, 09:16:24",0.185
"01/12/2020, 09:16:22",31.75,32.17073774974373,31.5,-0.06320459121980093,-0.06420786872964575,-0.06289267014381039,29652.9,-6.55274436090209,29652.3,"01/12/2020, 09:16:25",-0.5675
"01/12/2020, 09:16:23",31.6,32.04489007515834,31.674999999999997,-0.06314852644209168,-0.0641121440602225,-0.06320355802245103,29647.55,-6.939248120300649,29649.2,"01/12/2020, 09:16:26",-0.24100000000000427
"01/12/2020, 09:16:24",32.0,32.441955933254754,31.674999999999997,-0.06354421008154532,-0.06449115319397654,-0.06320355802245103,29652.4,-6.852969924811861,29648.65,"01/12/2020, 09:16:27",-0.6450000000000029
"01/12/2020, 09:16:25",31.5,31.89463676438689,31.8,-0.06289267014381039,-0.06375237117353229,-0.063457057137839,29652.3,-6.19015037593975,29645.8,"01/12/2020, 09:16:28",-0.014999999999999292
"01/12/2020, 09:16:26",31.674999999999997,32.026032880427785,31.45,-0.06320355802245103,-0.06397458562429349,-0.06276439589782967,29649.2,-5.4870676691728395,29654.7,"01/12/2020, 09:16:29",-0.5417499999999978
"01/12/2020, 09:16:41",31.95,32.30323776925638,32.15,-0.06445026293704359,-0.06463148068661226,-0.0648979536549632,29616.15,-5.465413533834587,29609.45,"01/12/2020, 09:16:44",-0.11950000000000072
"01/12/2020, 09:16:42",32.0,32.39210165229251,31.75,-0.06467493285526871,-0.06490012227831207,-0.06452571180943778,29610.35,-6.0416165413534095,29603.7,"01/12/2020, 09:16:45",-0.5700000000000001
"01/12/2020, 09:16:43",32.0,32.433718116275635,31.75,-0.06467493285526871,-0.06493480513163001,-0.06452571180943778,29610.35,-6.679285714285857,29603.7,"01/12/2020, 09:16:46",-0.5700000000000001
"01/12/2020, 09:16:44",32.15,32.60375651967354,31.25,-0.0648979536549632,-0.06521392368418312,-0.06353139951897901,29609.45,-6.95796992481209,29615.75,"01/12/2020, 09:16:47",-1.2214999999999985
"01/12/2020, 09:16:45",31.75,32.22298228621595,30.9,-0.06452571180943778,-0.06484485683759694,-0.06303620094740836,29603.7,-7.294060150376016,29616.75,"01/12/2020, 09:16:48",-1.1675000000000013
"01/12/2020, 09:16:46",31.75,32.240160465598414,30.9,-0.06452571180943778,-0.06485539099921332,-0.06303620094740836,29603.7,-7.5577443609022845,29616.75,"01/12/2020, 09:16:49",-1.1675000000000013
"01/12/2020, 09:16:47",31.25,31.70478951014746,30.85,-0.06353139951897901,-0.06382303488294383,-0.06294508092423712,29615.75,-7.125789473684192,29617.65,"01/12/2020, 09:16:50",-0.7124999999999986
"01/12/2020, 09:16:48",30.9,31.320018585050786,31.0,-0.06303620094740836,-0.06327909855827729,-0.06308734059530252,29616.75,-6.637556390977471,29619.85,"01/12/2020, 09:16:51",-0.20899999999999858
"01/12/2020, 09:16:49",30.9,31.253707834273172,30.65,-0.06303620094740836,-0.06319944913527313,-0.06278954672325199,29616.75,-5.596691729323319,29613.4,"01/12/2020, 09:16:52",-0.5589999999999999
"01/12/2020, 09:16:50",30.85,31.1692173809866,30.7,-0.06294508092423712,-0.06301106684063564,-0.06299757508259063,29617.65,-5.066052631578908,29608.15,"01/12/2020, 09:16:53",-0.45850000000000213
"01/12/2020, 09:18:24",34.55,34.90864825829328,35.05,-0.0686806365592929,-0.06941899095957872,-0.06959325849038578,29586.45,-5.166428571428253,29577.3,"01/12/2020, 09:18:27",0.15450000000000003
"01/12/2020, 09:18:25",35.15,35.54710287449681,35.5,-0.06964563217479736,-0.07043648116625018,-0.07022590204996959,29579.85,-5.637744360902021,29575.4,"01/12/2020, 09:18:28",-0.001499999999998558
"01/12/2020, 09:18:26",35.05,35.47579266071754,35.5,-0.06959325849038578,-0.07041220470169801,-0.07022590204996959,29577.3,-6.0471428571426715,29575.4,"01/12/2020, 09:18:29",0.09950000000000286
"01/12/2020, 09:18:27",35.05,35.50096906389509,36.4,-0.06959325849038578,-0.070418828989955,-0.07143470390928996,29577.3,-6.404097744360767,29573.2,"01/12/2020, 09:18:30",0.9995000000000014
"01/12/2020, 09:18:28",35.5,35.973114173918546,37.1,-0.07022590204996959,-0.07105982443017911,-0.07298115597222932,29575.4,-6.657969924811885,29551.75,"01/12/2020, 09:18:31",1.2450000000000014
"01/12/2020, 09:18:29",35.5,35.97823499859476,37.45,-0.07022590204996959,-0.0710431135904568,-0.07335498935390206,29575.4,-6.731616541353241,29553.85,"01/12/2020, 09:18:32",1.5950000000000029
"01/12/2020, 09:18:30",36.4,36.88990452265157,37.6,-0.07143470390928996,-0.07227293314550014,-0.07342779622376838,29573.2,-6.778533834586371,29557.5,"01/12/2020, 09:18:33",0.8360000000000029
"01/12/2020, 09:18:31",37.1,37.67506596469091,36.15,-0.07298115597222932,-0.07391129082666989,-0.07144511343994964,29551.75,-7.780488721804403,29562.5,"01/12/2020, 09:18:34",-1.3210000000000028
"01/12/2020, 09:18:32",37.45,38.077012885426925,36.05,-0.07335498935390206,-0.07435985087655231,-0.07129495968456467,29553.85,-8.432142857142791,29563.25,"01/12/2020, 09:18:35",-1.7745000000000057
"01/12/2020, 09:18:33",37.6,38.22804394132005,35.5,-0.07342779622376838,-0.0744781430767359,-0.07013456438471621,29557.5,-8.432593984962416,29578.45,"01/12/2020, 09:18:36",-2.4760000000000013
"01/12/2020, 09:18:34",36.15,36.746642485271124,35.35,-0.07144511343994964,-0.07244409498213786,-0.07013320941950951,29562.5,-8.235902255639155,29572.1,"01/12/2020, 09:18:37",-1.161499999999997
"01/12/2020, 09:18:35",36.05,36.610690956846575,35.65,-0.07129495968456467,-0.07225118906773814,-0.0705452238662474,29563.25,-7.760300751879843,29571.15,"01/12/2020, 09:18:38",-0.7604999999999986
"01/12/2020, 09:18:36",35.5,36.00143771253718,36.0,-0.07013456438471621,-0.07101231514395424,-0.07096792746779101,29578.45,-7.0612781954887875,29571.9,"01/12/2020, 09:18:39",0.14500000000000002
"01/12/2020, 09:18:37",35.35,35.793486472721185,36.75,-0.07013320941950951,-0.0708883330892611,-0.0721167550636892,29572.1,-6.2561278195489844,29565.35,"01/12/2020, 09:18:40",1.0464999999999987
"01/12/2020, 09:18:38",35.65,36.03115930317665,37.0,-0.0705452238662474,-0.07118120617886411,-0.07248854576573649,29571.15,-5.354774436090252,29563.5,"01/12/2020, 09:18:41",0.9935000000000014
"01/12/2020, 09:20:13",35.25,34.87070019212768,35.55,-0.06955443543574802,-0.06892073207645329,-0.06998080671110074,29587.25,5.503421052631371,29585.75,"01/12/2020, 09:20:16",-0.6524999999999972
"01/12/2020, 09:20:14",35.5,35.044973586526666,35.4,-0.06993803824570932,-0.06921543202602527,-0.06987463552832196,29585.05,6.574060150375759,29582.9,"01/12/2020, 09:20:17",-0.25499999999999856
"01/12/2020, 09:20:15",35.5,34.97017406467204,35.45,-0.06993803824570932,-0.06915124692585593,-0.06997706243510038,29589.25,7.661842105262977,29581.6,"01/12/2020, 09:20:18",-0.3050000000000028
"01/12/2020, 09:20:16",35.55,34.97281915139418,36.0,-0.06998080671110074,-0.0691446238680752,-0.07079431068177655,29585.75,8.347443609022411,29577.65,"01/12/2020, 09:20:19",-0.8055000000000028
"01/12/2020, 09:20:17",35.4,34.80123206349633,36.45,-0.06987463552832196,-0.0690144644099712,-0.07146761640797195,29582.9,8.675977443609012,29574.2,"01/12/2020, 09:20:20",-1.4040000000000044
"01/12/2020, 09:20:18",35.45,34.857794604993494,36.5,-0.06997706243510038,-0.069116093241252,-0.07148799820697604,29581.6,8.568270676691693,29575.6,"01/12/2020, 09:20:21",-1.4044999999999972
"01/12/2020, 09:20:19",36.0,35.43036531896127,36.6,-0.07079431068177655,-0.06998421558186703,-0.07164283620113565,29577.65,8.139473684210602,29574.65,"01/12/2020, 09:20:22",-0.9600000000000014
"01/12/2020, 09:20:20",36.45,35.964214499495725,36.85,-0.07146761640797195,-0.07080994434350682,-0.07204120302048977,29574.2,6.860413533834737,29571.9,"01/12/2020, 09:20:23",-0.7644999999999986
"01/12/2020, 09:20:21",36.5,36.09183247176393,37.0,-0.07148799820697604,-0.07094854767744362,-0.07237117429212958,29575.6,5.753007518797125,29567.3,"01/12/2020, 09:20:24",-0.865
"01/12/2020, 09:20:47",39.95,40.364108956560706,38.5,-0.07742532372958522,-0.07808447103555484,-0.07543905069269385,29524.05,-5.303345864661674,29529.85,"01/12/2020, 09:20:50",-1.8495000000000028
"01/12/2020, 09:20:48",39.55,40.05792155694631,38.75,-0.07696987920553511,-0.07776711053612191,-0.07572414463083987,29522.95,-6.531315789473633,29530.65,"01/12/2020, 09:20:51",-1.1954999999999971
"01/12/2020, 09:20:49",38.5,39.05340503223274,39.0,-0.07541614909314376,-0.07626568570328475,-0.0760887831575019,29530.55,-7.256278195488667,29529.0,"01/12/2020, 09:20:52",0.11499999999999999
