time t,actual price at t,expected price at t + 2,actual price at t + 2,delta at t,expected delta at t+2,actual delta at t + 2,spot at t,expected spot at t+2,actual spot at t + 2,time t + 2,trade pnl,    , Total PnL:
"01/12/2020, 09:15:20",402.15,408.2924356864128,418.7,-0.47275953365897294,-0.4777551410872106,-0.4756496491609141,29635.6,-12.992727272727379,29628.6,"01/12/2020, 09:15:22",12.528500000000012,    ,-98.93055772153065
"01/12/2020, 09:15:21",416.6,426.2745745812974,406.3277777777778,-0.4806988695236214,-0.48821572664757806,-0.476206434177584,29614.3,-20.12606060606089,29626.35,"01/12/2020, 09:15:23",-14.43822222222224
"01/12/2020, 09:15:22",418.7,428.1956966323399,406.3277777777778,-0.4756496491609141,-0.4831327398807678,-0.476206434177584,29628.6,-19.963636363636805,29650.2,"01/12/2020, 09:15:24",-16.559222222222207,   ,positive:,31
"01/12/2020, 09:15:23",406.3277777777778,414.59731896474176,406.8,-0.476206434177584,-0.4826436860071915,-0.46951236681707087,29626.35,-17.365454545454917,29645.3,"01/12/2020, 09:15:25",-3.591055555555549,   ,negative:,48
"01/12/2020, 09:15:24",406.3277777777778,412.48498266671396,409.5,-0.476206434177584,-0.48187456814599555,-0.46688594020452,29650.2,-12.929696969697156,29653.3,"01/12/2020, 09:15:26",-0.8910555555555604
"01/12/2020, 09:15:29",387.5,381.893431660339,388.9,-0.4576677267323248,-0.4534310652073173,-0.4553035815661133,29677.3,12.250303030303225,29684.7,"01/12/2020, 09:15:31",2.4750000000000227,   ,EPAP:,16
"01/12/2020, 09:15:30",385.05,377.99883553075114,386.35,-0.4533892433755682,-0.44763724806023564,-0.45448488144756993,29689.7,15.552121212121468,29686.65,"01/12/2020, 09:15:32",2.550499999999989,   ,EPAL:,15
"01/12/2020, 09:15:31",388.9,382.4542809928466,390.38671875,-0.4553035815661133,-0.4497732502640054,-0.4582170668982144,29684.7,14.156969696970059,29676.2,"01/12/2020, 09:15:33",2.402281249999977,   ,ELAP:,28
"01/12/2020, 09:15:32",386.35,380.36236827096513,390.38671875,-0.45448488144756993,-0.4490293153812121,-0.4582170668982144,29686.65,13.17454545454587,29670.85,"01/12/2020, 09:15:34",-0.1732187499999771,   ,ELAL:,20
"01/12/2020, 09:15:33",390.38671875,386.1047496866644,401.05806451612904,-0.4582170668982144,-0.4538307368514352,-0.46641184208056075,29676.2,9.344848484848804,29653.85,"01/12/2020, 09:15:35",-6.767478578629037
"01/12/2020, 09:16:15",396.93730158730165,400.91566971089173,400.25,-0.46681179092047387,-0.46997681839043665,-0.46382257851291797,29652.0,-8.522424242424137,29661.15,"01/12/2020, 09:16:17",-0.6566746031746638
"01/12/2020, 09:20:46",466.0,471.05258184429715,460.25,-0.5127158698087442,-0.5163353254796345,-0.5144519746863807,29526.35,-9.854545454545587,29522.95,"01/12/2020, 09:20:48",-10.41
"01/12/2020, 09:20:47",467.2,472.80984582416016,456.85,-0.5135511323715036,-0.5175482067820805,-0.5116094039294694,29524.05,-10.923636363636682,29530.55,"01/12/2020, 09:20:49",-15.021999999999966
"01/12/2020, 09:20:48",460.25,466.21203070300186,457.2,-0.5144519746863807,-0.5187411744119538,-0.5118686623063695,29522.95,-11.589090909090979,29529.85,"01/12/2020, 09:20:50",-7.652500000000011
"01/12/2020, 09:20:49",456.85,462.11368560067075,457.55,-0.5116094039294694,-0.5154496868806635,-0.5115269425004954,29530.55,-10.288484848484929,29530.65,"01/12/2020, 09:20:51",-3.8685000000000116
"01/12/2020, 09:30:13",400.6,396.38587468881605,402.3,-0.4699450367297686,-0.4666527617778091,-0.47012848226586357,29643.5,8.967272727272587,29643.15,"01/12/2020, 09:30:15",2.3060000000000116
"01/12/2020, 09:30:14",399.75,395.32919480115834,402.3,-0.4698440307947749,-0.46637558391122375,-0.47012848226586357,29643.7,9.409090909090779,29643.15,"01/12/2020, 09:30:16",1.4474999999999887
"01/12/2020, 09:30:15",402.3,397.8793676349364,399.15,-0.47012848226586357,-0.4666605607141691,-0.47040412537171505,29643.15,9.403030303030436,29642.05,"01/12/2020, 09:30:17",-0.8729999999999665
