time t,actual price at t,expected price at t + 2,actual price at t + 2,delta at t,actual delta at t + 2,spot at t,actual spot at t + 2,time t + 2,trade pnl,    , Total PnL:
"01/12/2020, 09:15:06",321.5,326.1424568801538,329.75,-0.4163062170846388,-0.41439730684942333,29683.05,29694.1,"01/12/2020, 09:15:08",5.035,    ,7.691070888170454
"01/12/2020, 09:15:13",314.95,310.1741823516763,329.9,-0.404411364797852,-0.4152302415604936,29719.4,29691.35,"01/12/2020, 09:15:15",-11.800499999999989
"01/12/2020, 09:15:15",329.9,333.7955630472215,350.95,-0.4152302415604936,-0.425881059072708,29691.35,29666.15,"01/12/2020, 09:15:17",17.751000000000012,   ,positive:,15
"01/12/2020, 09:15:16",341.7,346.03676508067673,350.95,-0.42413392211528844,-0.4233046724948508,29667.65,29674.85,"01/12/2020, 09:15:18",5.833,   ,negative:,14
"01/12/2020, 09:15:17",350.95,354.83157619895593,348.35,-0.425881059072708,-0.4233495880725968,29666.15,29673.45,"01/12/2020, 09:15:19",-6.109499999999966
"01/12/2020, 09:15:20",354.85,359.7980997593112,372.8,-0.4357560724201903,-0.439909005217487,29635.6,29628.6,"01/12/2020, 09:15:22",14.401499999999988,   ,EPAP:,7
"01/12/2020, 09:15:21",369.65,378.4543285856684,359.145251396648,-0.4441062169462384,-0.439215413734928,29614.3,29626.35,"01/12/2020, 09:15:23",-14.20124860335197,   ,EPAL:,6
"01/12/2020, 09:16:13",346.75,350.46335883929277,351.0436507936508,-0.4274707683180168,-0.43024036917813646,29659.0,29652.0,"01/12/2020, 09:16:15",0.8261507936507835,   ,ELAP:,6
"01/12/2020, 09:20:45",407.4,412.7211118815394,414.6,-0.4766621903399937,-0.47717895058667636,29525.1,29524.05,"01/12/2020, 09:20:47",3.1260000000000456,   ,ELAL:,10
"01/12/2020, 09:24:45",381.9816666666667,377.27282745146,377.2080474934037,-0.45038292573735816,-0.4502780982420518,29628.9,29607.05,"01/12/2020, 09:24:47",0.9538025065963334
"01/12/2020, 09:30:11",364.55,360.8832447797962,352.95,-0.4352205833129119,-0.4330767740611918,29641.0,29643.5,"01/12/2020, 09:30:13",7.9545000000000226
"01/12/2020, 09:30:12",354.0,349.7286517456647,353.95,-0.43281672724333475,-0.4331368480961828,29644.75,29643.7,"01/12/2020, 09:30:14",-3.4899999999999887
"01/12/2020, 09:52:07",333.5,330.04951305445246,321.9,-0.4201605660455243,-0.41715264987942646,29676.95,29680.7,"01/12/2020, 09:52:09",8.265000000000022
"01/12/2020, 10:35:44",266.75,263.4913645291357,275.2,-0.3792467738094274,-0.3837350117464666,29769.2,29761.25,"01/12/2020, 10:35:46",-5.782499999999988
"01/12/2020, 10:35:45",275.0,272.24751335445336,268.75,-0.3836548899926129,-0.38143273322930327,29761.35,29763.35,"01/12/2020, 10:35:47",3.5
"01/12/2020, 10:54:03",226.25,223.80032680807787,224.15,-0.3365755574122886,-0.33614108588153613,29883.2,29881.55,"01/12/2020, 10:54:05",-0.16250000000000586
"01/12/2020, 10:54:04",223.3,220.14873525027946,224.8,-0.3348271604409092,-0.33646781030256534,29885.7,29881.25,"01/12/2020, 10:54:06",0.7330000000000001
"01/12/2020, 12:28:16",265.61052852348996,270.36576834686576,265.45,-0.3775505374505883,-0.3837146074147313,29753.8,29752.85,"01/12/2020, 12:28:18",-2.8166338087248723
"01/12/2020, 12:28:17",264.65,267.495789620167,260.2,-0.3825444373433129,-0.38076107111919555,29756.15,29758.05,"01/12/2020, 12:28:19",-7.096499999999988
"01/12/2020, 12:28:23",288.35,295.13201766930626,285.3,-0.40781240650176187,-0.40203018943429925,29691.45,29707.85,"01/12/2020, 12:28:25",-5.933500000000011
"01/12/2020, 12:28:24",286.4,292.6593827859329,279.2,-0.4048625462928612,-0.3998832531578955,29699.5,29710.35,"01/12/2020, 12:28:26",-10.06399999999999
"01/12/2020, 13:07:13",269.8,266.6127884671385,259.15,-0.3796947370574344,-0.3791749637457542,29771.45,29762.75,"01/12/2020, 13:07:15",7.952000000000034
"01/12/2020, 13:07:14",256.0,252.95308916430648,257.1,-0.3773211786210595,-0.3784140761126764,29766.05,29763.35,"01/12/2020, 13:07:16",1.4599999999999773
"01/12/2020, 13:39:10",212.2,208.45715609267702,210.95,-0.346177726987662,-0.34343490151513834,29823.7,29832.05,"01/12/2020, 13:39:12",-0.8719999999999999
"01/12/2020, 14:00:57",222.9,220.28690977812983,224.2,-0.3491193981062679,-0.3506691151414998,29828.6,29824.6,"01/12/2020, 14:00:59",0.9290000000000171
"01/12/2020, 14:13:07",205.0,202.28050072266217,202.75,-0.3326295712213323,-0.3301819915577653,29864.4,29870.25,"01/12/2020, 14:13:09",0.20000000000000018
"01/12/2020, 14:13:08",200.0,196.36766680117526,202.8,-0.3293203680186707,-0.33041483657143544,29868.75,29869.4,"01/12/2020, 14:13:10",-0.8000000000000114
"01/12/2020, 14:58:02",171.0,169.25539806259783,170.5,-0.3058718571992358,-0.3063550835577189,29905.55,29902.35,"01/12/2020, 14:58:04",-1.21
"01/12/2020, 15:21:47",189.0,191.2340549820063,190.0,-0.33832944091045647,-0.34136206295443117,29816.0,29807.0,"01/12/2020, 15:21:49",-0.8900000000000001
