time t,actual price at t,expected price at t + 2,actual price at t + 2,vega at t,actual vega at t + 2,imp_v at t,actual imp_v at t + 2,time t + 2,trade pnl,    , Total PnL:
"01/12/2020, 09:15:04",4.05,3.9074157518966084,4.05,0.5301454903017486,0.5341319431081786,61.807422990760166,61.216809631223946,"01/12/2020, 09:15:08",-0.0405,    ,6.757452470078945
"01/12/2020, 09:15:07",4.1,3.415363810356864,2.85,0.5380987514857765,0.41625585955596023,61.39754174196098,58.89049574294486,"01/12/2020, 09:15:11",1.2089999999999996
"01/12/2020, 09:15:08",4.1,3.7824523420582405,2.85,0.5380987514857765,0.41625585955596023,61.39754174196098,58.89049574294486,"01/12/2020, 09:15:12",1.2089999999999996,   ,positive:,81
"01/12/2020, 09:15:17",2.85,2.77645786905818,2.85,0.41625585955596023,0.4182135130567417,58.89049574294486,58.54236667733475,"01/12/2020, 09:15:21",-0.0285,   ,negative:,100
"01/12/2020, 09:15:20",2.85,2.986935243073499,3.4499999999999997,0.4182135130567417,0.48293387051867853,58.54236667733475,59.18754773838513,"01/12/2020, 09:15:24",0.5714999999999997
"01/12/2020, 09:15:21",2.85,2.913513244531144,3.4499999999999997,0.4182135130567417,0.48293387051867853,58.54236667733475,59.18754773838513,"01/12/2020, 09:15:25",0.5714999999999997,   ,EPAP:,84
"01/12/2020, 09:15:22",3.4499999999999997,3.5322405208257557,3.45,0.48293387051867853,0.48079340697822204,59.18754773838513,59.523101893581924,"01/12/2020, 09:15:26",-0.03449999999999955,   ,EPAL:,13
"01/12/2020, 09:15:29",3.45,3.6061211092645924,3.5,0.48079340697822204,0.48225838742492044,59.523101893581924,60.162936254823464,"01/12/2020, 09:15:33",0.01549999999999982,   ,ELAP:,16
"01/12/2020, 09:15:30",3.45,3.522412024593795,3.5,0.48079340697822204,0.48225838742492044,59.523101893581924,60.162936254823464,"01/12/2020, 09:15:34",0.01549999999999982,   ,ELAL:,68
"01/12/2020, 09:15:32",3.5,3.6189497167591753,3.85,0.48225838742492044,0.5168880612871618,60.162936254823464,60.64894944654108,"01/12/2020, 09:15:36",0.31500000000000006
"01/12/2020, 09:15:40",4.0,3.662622148353554,3.5,0.5308547298203621,0.4853429461686716,60.92825583256138,59.67596468104449,"01/12/2020, 09:15:44",0.46
"01/12/2020, 09:15:41",4.0,3.843517552457176,3.5,0.5308547298203621,0.4853429461686716,60.92825583256138,59.67596468104449,"01/12/2020, 09:15:45",0.46
"01/12/2020, 09:15:42",3.5,3.676580365306202,3.85,0.4853429461686716,0.5185980472990508,59.67596468104449,60.39286392698315,"01/12/2020, 09:15:46",0.31500000000000006
"01/12/2020, 09:15:43",3.5,3.581901427779785,3.85,0.4853429461686716,0.5185980472990508,59.67596468104449,60.39286392698315,"01/12/2020, 09:15:47",0.31500000000000006
"01/12/2020, 09:15:47",3.85,3.993486552015817,3.95,0.5185980472990508,0.5255287077708601,60.39286392698315,60.93805000513436,"01/12/2020, 09:15:51",0.06150000000000009
"01/12/2020, 09:15:55",3.95,3.743889996298953,3.5,0.5255287077708601,0.4828958572800559,60.93805000513436,60.06072342290505,"01/12/2020, 09:15:59",0.4105000000000002
"01/12/2020, 09:15:56",3.85,3.7670769806726576,3.5,0.5162550903540932,0.4828958572800559,60.74310317670435,60.06072342290505,"01/12/2020, 09:16:00",0.3115000000000001
"01/12/2020, 09:16:02",3.5,3.744000525197088,4.0,0.4828958572800559,0.5299773074994931,60.06072342290505,61.05636200172031,"01/12/2020, 09:16:06",0.46499999999999997
"01/12/2020, 09:16:03",3.5,3.613172216843053,4.0,0.4828958572800559,0.5299773074994931,60.06072342290505,61.05636200172031,"01/12/2020, 09:16:07",0.46499999999999997
"01/12/2020, 09:16:13",4.15,4.050087657837394,4.2,0.5433984554588847,0.551094888373683,61.37708399133337,61.01478662669617,"01/12/2020, 09:16:17",-0.09149999999999983
"01/12/2020, 09:16:25",4.2,4.334124085038208,4.45,0.551695981919238,0.5739099419975986,60.929248190119104,61.40828775713829,"01/12/2020, 09:16:29",0.208
"01/12/2020, 09:16:26",4.2,4.021880979014842,4.0,0.551695981919238,0.5334266737886537,60.929248190119104,60.54992730342386,"01/12/2020, 09:16:30",0.15800000000000017
"01/12/2020, 09:16:27",4.45,4.334042704931633,4.0,0.5739099419975986,0.5334266737886537,61.40828775713829,60.54992730342386,"01/12/2020, 09:16:31",0.4055000000000002
"01/12/2020, 09:16:30",4.0,4.1399198518616505,4.3,0.5334266737886537,0.5610405242276784,60.54992730342386,61.066782685246764,"01/12/2020, 09:16:34",0.25999999999999984
"01/12/2020, 09:16:31",4.0,4.142532792937753,4.5,0.5334266737886537,0.5793773536163371,60.54992730342386,61.353562474654346,"01/12/2020, 09:16:35",0.46
"01/12/2020, 09:16:48",4.5,4.226458351868676,4.1,0.5803306087675821,0.5457237155466999,61.22355059867767,60.294771536093826,"01/12/2020, 09:16:52",0.35500000000000037
"01/12/2020, 09:17:02",4.3,4.395924185582052,4.3,0.5678337647716916,0.565561264495301,60.127598050209244,60.43837007508955,"01/12/2020, 09:17:06",-0.043
"01/12/2020, 09:17:10",4.3,4.1806346579399705,4.25,0.5652420488644481,0.563554463975791,60.48205051484308,59.99962111177418,"01/12/2020, 09:17:14",0.006999999999999826
"01/12/2020, 09:18:29",4.15,4.045530388659889,4.25,0.5537253110529576,0.5669531984833185,59.90578850338847,59.534030747425994,"01/12/2020, 09:18:33",-0.14149999999999965
