time t,actual price at t,expected price at t + 2,actual price at t + 2,delta at t,actual delta at t + 2,spot at t,actual spot at t + 2,time t + 2,trade pnl,    , Total PnL:
"01/12/2020, 09:15:06",45.2,46.21960821032111,63.75,-0.09345104533622361,-0.11400251337363443,29683.05,29694.1,"01/12/2020, 09:15:08",18.097999999999995,    ,41.62912811740717
"01/12/2020, 09:15:07",54.25,55.06229792329465,54.724999999999994,-0.10400136134194327,-0.10415029081514149,29688.6,29696.45,"01/12/2020, 09:15:09",-0.06750000000000567
"01/12/2020, 09:15:12",58.55,57.76662398500471,54.7,-0.10897543177179614,-0.1041073526494074,29715.0,29696.75,"01/12/2020, 09:15:14",3.264499999999994,   ,positive:,41
"01/12/2020, 09:15:13",53.75,52.5504093918639,54.76860465116279,-0.10193543150762707,-0.10565315235453454,29719.4,29691.35,"01/12/2020, 09:15:15",-0.48110465116278933,   ,negative:,47
"01/12/2020, 09:15:15",54.76860465116279,55.753941788255055,60.75,-0.10565315235453454,-0.11233162833832466,29691.35,29666.15,"01/12/2020, 09:15:17",5.433709302325583
"01/12/2020, 09:15:16",54.76860465116279,55.84882205681935,59.9,-0.10565315235453454,-0.11095627396571217,29667.65,29674.85,"01/12/2020, 09:15:18",4.583709302325581,   ,EPAP:,26
"01/12/2020, 09:15:17",60.75,61.77710445083262,60.670833333333334,-0.11233162833832466,-0.113285611757874,29666.15,29673.45,"01/12/2020, 09:15:19",-0.6866666666666658,   ,EPAL:,15
"01/12/2020, 09:15:20",60.670833333333334,61.92522617951589,69.05,-0.113285611757874,-0.12305544080390973,29635.6,29628.6,"01/12/2020, 09:15:22",7.772458333333329,   ,ELAP:,18
"01/12/2020, 09:15:21",65.76851851851852,68.15387518116022,69.05,-0.12100749737555816,-0.12305544080390973,29614.3,29626.35,"01/12/2020, 09:15:23",2.623796296296293,   ,ELAL:,29
"01/12/2020, 09:15:22",69.05,69.74090732778843,66.8,-0.12305544080390973,-0.11953281698424689,29628.6,29650.2,"01/12/2020, 09:15:24",-2.9405
"01/12/2020, 09:15:24",66.8,65.95597827438824,65.60588235294118,-0.11953281698424689,-0.11802494545918307,29650.2,29653.3,"01/12/2020, 09:15:26",0.5261176470588175
"01/12/2020, 09:15:25",65.45,64.63775739334552,65.60588235294118,-0.11842438607345684,-0.11802494545918307,29645.3,29661.8,"01/12/2020, 09:15:27",0.4986176470588233
"01/12/2020, 09:15:28",62.9,62.20933699456112,59.95,-0.11437882944846933,-0.11023508682228567,29670.5,29689.7,"01/12/2020, 09:15:30",2.3209999999999957
"01/12/2020, 09:15:29",61.9,61.269459637432256,59.9,-0.11296152520117175,-0.11044096693240135,29677.3,29684.7,"01/12/2020, 09:15:31",1.381
"01/12/2020, 09:15:30",59.95,59.22632994354405,61.55,-0.11023508682228567,-0.11209732774659642,29689.7,29686.65,"01/12/2020, 09:15:32",-1.0004999999999944
"01/12/2020, 09:15:35",66.0,66.88962557522805,66.6625,-0.11850969717670523,-0.1190455721825856,29653.85,29665.6,"01/12/2020, 09:15:37",0.0024999999999942846
"01/12/2020, 09:15:46",68.35333333333332,67.5593804426499,64.8,-0.12137293057321585,-0.115761717870555,29675.45,29678.55,"01/12/2020, 09:15:48",2.8697999999999944
"01/12/2020, 09:15:47",65.15,64.33536723185644,64.8,-0.1163492813020639,-0.115761717870555,29677.2,29676.9,"01/12/2020, 09:15:49",-0.30149999999999155
