Date,PnL,Capital Required,Average Hit Rate,% profit
1,120.0868513,2562.22588,0.677719475,4.686817515
10,0,0,0,0
11,118.2773029,1795.351827,0.833768315,6.587973517
12,0,0,0,0
13,0,0,0,0
14,46.88739765,732.9480408,0.71166855,6.397097071
15,20.084,353.4495,0.571428571,5.682282759
16,903.5255729,1463.330945,0.624754454,61.74444519
17,320.3345072,1373.642929,0.795581553,23.32007106
18,300.4850966,2400.705891,0.68167031,12.51653098
19,0,0,0,0
2,333.4483367,1256.341014,0.689573928,26.54122831
20,0,0,0,0
21,426.1338655,5584.801302,0.865832559,7.630242195
22,209.1851597,1648.953732,0.64856785,12.68593264
23,63.86053296,1354.155692,0.535822732,4.71589296
24,-48.06815528,496.3951548,0.797926126,-9.683445701
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,1420.487865,1464.32547,0.77751963,97.00629363
3,223.4072829,936.0132927,0.803246527,23.86796049
30,0,0,0,0
31,0,0,0,0
4,-26.58944363,754.2133333,0.470318223,-3.525453934
5,0,0,0,0
6,0,0,0,0
7,189.9908237,2383.188712,0.762217566,7.972126706
8,602.1265397,2652.665,0.793965567,22.6989288
9,-28.68770564,1409.704917,0.717601762,-2.035014937
,,,,
,Total PnL,Total Capital Required,Average Hit Rate,Average % profit
,5194.975831,30622.41263,0.708843539,17.15610607
