time t,actual price at t,expected at t + timeGap, actual at t + timeGap,time t + timeGap,trade pnl
"12/01/2020, 09:15:19",100.9,104.02402947592063,113.0,"12/01/2020, 09:15:24",11.090999999999994
"12/01/2020, 09:15:20",100.9,103.6376211482305,110.575,"12/01/2020, 09:15:25",8.665999999999997
"12/01/2020, 09:15:21",100.9,104.04202249556708,110.575,"12/01/2020, 09:15:26",8.665999999999997
"12/01/2020, 09:15:22",115.0,118.64314937754095,108.80000000000001,"12/01/2020, 09:15:27",-7.349999999999989
"12/01/2020, 09:15:23",115.0,119.05644180289636,108.80000000000001,"12/01/2020, 09:15:28",-7.349999999999989
"12/01/2020, 09:15:24",113.0,116.73593453215081,102.6,"12/01/2020, 09:15:29",-11.530000000000006
"12/01/2020, 09:15:25",110.575,114.20100718737909,100.9,"12/01/2020, 09:15:30",-10.780749999999998
"12/01/2020, 09:15:26",110.575,114.29228201853374,100.9,"12/01/2020, 09:15:31",-10.780749999999998
"12/01/2020, 09:15:27",108.80000000000001,112.30734515984233,103.65,"12/01/2020, 09:15:32",-6.238000000000006
"12/01/2020, 09:15:28",108.80000000000001,111.92747433347373,104.85,"12/01/2020, 09:15:33",-5.038000000000017
"12/01/2020, 09:15:29",102.6,105.0909943762988,115.45,"12/01/2020, 09:15:34",11.824000000000009
"12/01/2020, 09:15:30",100.9,102.77294494365037,115.45,"12/01/2020, 09:15:35",13.540999999999997
"12/01/2020, 09:15:31",100.9,102.30630766515662,111.94999999999999,"12/01/2020, 09:15:36",10.040999999999983
"12/01/2020, 09:15:35",115.45,114.17966825529794,110.1,"12/01/2020, 09:15:40",4.195500000000008
"12/01/2020, 09:15:36",111.94999999999999,110.59153550567238,110.95,"12/01/2020, 09:15:41",-0.11950000000001415
"12/01/2020, 09:15:37",111.94999999999999,110.43089393154706,114.6,"12/01/2020, 09:15:42",-3.7695000000000056
"12/01/2020, 09:15:38",109.8,107.96266289567018,117.225,"12/01/2020, 09:15:43",-8.522999999999998
"12/01/2020, 09:15:39",110.1,108.00190595753216,117.225,"12/01/2020, 09:15:44",-8.225999999999999
"12/01/2020, 09:15:40",110.1,108.39315330691569,115.55,"12/01/2020, 09:15:45",-6.551000000000003
"12/01/2020, 09:15:57",100.9,99.87337330053738,101.275,"12/01/2020, 09:16:02",-1.3840000000000001
"12/01/2020, 09:15:58",101.9,100.72125588780628,101.275,"12/01/2020, 09:16:03",-0.39400000000000013
"12/01/2020, 09:15:59",100.9,99.67154092541269,102.35,"12/01/2020, 09:16:04",-2.458999999999989
"12/01/2020, 09:16:00",100.9,99.7647813965269,100.85,"12/01/2020, 09:16:05",-0.9589999999999888
"12/01/2020, 09:16:16",109.85,110.95222879259624,111.1,"12/01/2020, 09:16:21",0.15149999999999997
"12/01/2020, 09:16:17",111.1,112.32272812406848,109.67500000000001,"12/01/2020, 09:16:22",-2.5359999999999827
"12/01/2020, 09:16:18",110.8,112.20362387803513,110.65,"12/01/2020, 09:16:23",-1.2579999999999916
"12/01/2020, 09:16:19",110.8,112.44147176675283,110.65,"12/01/2020, 09:16:24",-1.2579999999999916
"12/01/2020, 09:16:20",110.8,112.57731913221073,110.775,"12/01/2020, 09:16:25",-1.1329999999999916
"12/01/2020, 09:16:21",111.1,113.03523578765683,111.7,"12/01/2020, 09:16:26",-0.5109999999999915
"12/01/2020, 09:16:22",109.67500000000001,111.68488250241327,111.7,"12/01/2020, 09:16:27",0.9282499999999914
"12/01/2020, 09:16:23",110.65,112.79369527571427,111.15,"12/01/2020, 09:16:28",-0.6065
"12/01/2020, 09:16:24",110.65,112.76706907558777,111.7,"12/01/2020, 09:16:29",-0.05650000000000288
"12/01/2020, 09:16:25",110.775,112.68092952755237,110.6,"12/01/2020, 09:16:30",-1.2827500000000114
"12/01/2020, 09:16:26",111.7,113.39577006110507,110.6,"12/01/2020, 09:16:31",-2.2170000000000085
"12/01/2020, 09:16:27",111.7,113.22303675132122,111.6,"12/01/2020, 09:16:32",-1.2170000000000085
"12/01/2020, 09:16:28",111.15,112.53066999063272,113.5,"12/01/2020, 09:16:33",1.2384999999999942
"12/01/2020, 09:16:36",118.0,119.21186372418396,117.0,"12/01/2020, 09:16:41",-2.1799999999999997
"12/01/2020, 09:16:38",115.85,117.10155073074571,117.45,"12/01/2020, 09:16:43",0.44150000000000866
